CustomerId,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,ContractLengthMonths,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,ChangedPlan,ChangedPlanPositive,ChangedPlanNegative,InternetServicesDensity,Complaint,HasComplaint,anger_score,TenureBin,MonthlyChargesBin,ServiceDensityBin,AngerBin,ChurnProbability,RiskCategory
1066-JKSGK,Male,0,No,0,1,1,0,20.15,20.15,1,1,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,0,0,0,0.0,,0,0.0,0-12 Mo,Very Low,,Very Low,0.68657494,Medium Risk
3638-WEABW,Female,0,Yes,0,58,1,1,59.9,3505.1,0,24,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,1,0,1,0.3333333333333333,,0,0.0,49-60 Mo,Medium,Low,Very Low,0.047369573,Low Risk
6322-HRPFA,Male,0,Yes,1,49,1,0,59.6,2970.3,0,1,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,1,0,1,0.5,,0,0.0,49-60 Mo,Medium,Medium,Very Low,0.25104266,Low Risk
6865-JZNKO,Female,0,No,0,30,1,1,55.3,1530.6,0,1,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,1,1,0,0.3333333333333333,,0,0.0,25-36 Mo,Low,Low,Very Low,0.33964565,Medium Risk
6467-CHFZW,Male,0,Yes,1,47,1,1,99.35,4749.15,1,1,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,1,0,1,0.5,,0,0.0,37-48 Mo,Very High,Medium,Very Low,0.82329065,High Risk
8665-UTDHZ,Male,0,Yes,1,1,0,0,30.2,30.2,1,1,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,0,0,0,0.1666666666666666,,0,0.0,0-12 Mo,Low,Very Low,Very Low,0.80418885,High Risk
5248-YGIJN,Male,0,Yes,0,72,1,1,90.25,6369.45,0,24,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,1,1,0,1.0,,0,0.0,61-72 Mo,High,Very High,Very Low,0.028454864,Low Risk
8773-HHUOZ,Female,0,No,1,17,1,1,64.7,1093.1,1,1,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,1,1,0,0.3333333333333333,,0,0.0,13-24 Mo,Medium,Low,Very Low,0.6500308,Medium Risk
3841-NFECX,Female,1,Yes,0,71,1,1,96.35,6766.95,0,24,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,1,1,0,0.6666666666666666,,0,0.0,61-72 Mo,Very High,High,Very Low,0.052207634,Low Risk
4929-XIHVW,Male,1,Yes,0,2,1,1,95.5,181.65,0,1,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,1,1,0,0.5,"The streaming services I signed up for, including TV and movies, frequently buffer or fail to load altogether. For the high monthly charges I'm paying, I expect a much better experience. Please resolve this issue as soon as possible.",1,5.0,0-12 Mo,Very High,Medium,Medium,0.95713395,High Risk
6827-IEAUQ,Female,0,Yes,1,27,1,0,66.15,1874.45,0,12,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,1,0,1,0.6666666666666666,,0,0.0,25-36 Mo,Medium,High,Very Low,0.10913667,Low Risk
7310-EGVHZ,Male,0,No,0,1,1,0,20.2,20.2,0,1,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,0,0,0,0.0,,0,0.0,0-12 Mo,Very Low,,Very Low,0.68657494,Medium Risk
3413-BMNZE,Male,1,No,0,1,1,0,45.25,45.25,0,1,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,0,0,0,0.0,,0,0.0,0-12 Mo,Low,,Very Low,0.83634526,High Risk
6234-RAAPL,Female,0,Yes,1,72,1,0,99.9,7251.7,0,24,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,1,0,1,0.6666666666666666,,0,0.0,61-72 Mo,Very High,High,Very Low,0.027624352,Low Risk
6047-YHPVI,Male,0,No,0,5,1,1,69.7,316.9,1,1,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,1,1,0,0.0,"My internet service has been extremely unreliable, with frequent outages and slow speeds. Despite paying a high monthly charge, I am not getting the quality of service I expected. This has been very frustrating and has disrupted my daily activities.",1,6.0,0-12 Mo,Medium,,High,0.9756447,High Risk
6572-ADKRS,Female,0,No,0,46,1,1,74.8,3548.3,0,1,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,1,0,1,0.1666666666666666,,0,0.0,37-48 Mo,Medium,Very Low,Very Low,0.58737767,Medium Risk
5380-WJKOV,Male,0,No,0,34,1,1,106.35,3549.25,1,1,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,1,1,0,0.6666666666666666,,0,0.0,25-36 Mo,Very High,High,Very Low,0.8295226,High Risk
8168-UQWWF,Female,0,No,0,11,1,1,97.85,1105.4,1,1,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,1,0,1,0.5,,0,0.0,0-12 Mo,Very High,Medium,Very Low,0.9136498,High Risk
8865-TNMNX,Male,0,Yes,1,10,1,0,49.55,475.7,0,12,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,1,1,0,0.1666666666666666,,0,0.0,0-12 Mo,Low,Very Low,Very Low,0.21849968,Low Risk
9489-DEDVP,Female,0,Yes,1,70,1,1,69.2,4872.35,0,24,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,1,0,1,0.5,,0,0.0,61-72 Mo,Medium,Medium,Very Low,0.07053835,Low Risk
9867-JCZSP,Female,0,Yes,1,17,1,0,20.75,418.25,0,12,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,1,0,1,0.0,,0,0.0,13-24 Mo,Very Low,,Very Low,0.10931071,Low Risk
4671-VJLCL,Female,0,No,0,63,1,1,79.85,4861.45,0,24,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,1,1,0,0.8333333333333334,,0,0.0,61-72 Mo,High,Very High,Very Low,0.052474357,Low Risk
4080-IIARD,Female,0,Yes,0,13,1,1,76.2,981.45,0,1,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,1,1,0,0.6666666666666666,,0,0.0,13-24 Mo,Medium,High,Very Low,0.6132502,Medium Risk
3714-NTNFO,Female,0,No,0,49,1,1,84.5,3906.7,0,1,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,1,1,0,0.1666666666666666,"The streaming movies service often lags or buffers, making it difficult to enjoy watching. This is frustrating considering it's one of the few services I use.",1,5.75,49-60 Mo,High,Very Low,Medium,0.8987244,High Risk
5948-UJZLF,Male,0,No,0,2,1,0,49.25,97.0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,1,1,0,0.1666666666666666,,0,0.0,0-12 Mo,Low,Very Low,Very Low,0.694658,Medium Risk
7760-OYPDY,Female,0,No,0,2,1,1,80.65,144.15,1,1,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,1,1,0,0.1666666666666666,,0,0.0,0-12 Mo,High,Very Low,Very Low,0.9149789,High Risk
7639-LIAYI,Male,0,No,0,52,1,1,79.75,4217.8,0,24,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,1,0,1,0.6666666666666666,,0,0.0,49-60 Mo,High,High,Very Low,0.10618549,Low Risk
2954-PIBKO,Female,0,Yes,1,69,1,1,64.15,4254.1,0,24,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,1,1,0,0.5,,0,0.0,61-72 Mo,Medium,Medium,Very Low,0.041759662,Low Risk
8012-SOUDQ,Female,1,No,0,43,1,1,90.25,3838.75,0,1,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,1,1,0,0.3333333333333333,,0,0.0,37-48 Mo,High,Low,Very Low,0.77676415,High Risk
9420-LOJKX,Female,0,No,0,15,1,1,99.1,1426.4,1,1,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,1,1,0,0.6666666666666666,,0,0.0,13-24 Mo,Very High,High,Very Low,0.7826635,High Risk
6575-SUVOI,Female,1,Yes,0,25,1,1,69.5,1752.65,0,1,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,1,0,1,0.5,,0,0.0,25-36 Mo,Medium,Medium,Very Low,0.3715396,Medium Risk
7495-OOKFY,Female,1,Yes,0,8,1,1,80.65,633.3,1,1,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,1,1,0,0.1666666666666666,,0,0.0,0-12 Mo,High,Very Low,Very Low,0.85279906,High Risk
4667-QONEA,Female,1,Yes,1,60,1,1,74.85,4456.35,0,12,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,1,1,0,0.8333333333333334,,0,0.0,49-60 Mo,Medium,Very High,Very Low,0.15737332,Low Risk
1658-BYGOY,Male,1,No,0,18,1,1,95.45,1752.55,1,1,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,1,0,1,0.3333333333333333,,0,0.0,13-24 Mo,Very High,Low,Very Low,0.88502586,High Risk
8769-KKTPH,Female,0,Yes,1,63,1,1,99.65,6311.2,0,12,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,1,0,1,0.5,,0,0.0,61-72 Mo,Very High,Medium,Very Low,0.4159622,Medium Risk
5067-XJQFU,Male,1,Yes,1,66,1,1,108.45,7076.35,0,12,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,1,1,0,0.8333333333333334,,0,0.0,61-72 Mo,Very High,Very High,Very Low,0.52833164,Medium Risk
3957-SQXML,Female,0,Yes,1,34,1,0,24.95,894.3,0,24,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,0,1,0.0,,0,0.0,25-36 Mo,Very Low,,Very Low,0.0583155,Low Risk
5954-BDFSG,Female,0,No,0,72,1,1,107.5,7853.7,0,24,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,1,0,1,0.6666666666666666,,0,0.0,61-72 Mo,Very High,High,Very Low,0.16983871,Low Risk
0434-CSFON,Female,0,Yes,0,47,1,1,100.5,4707.1,0,1,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,1,1,0,0.5,,0,0.0,37-48 Mo,Very High,Medium,Very Low,0.852506,High Risk
1215-FIGMP,Male,0,No,0,60,1,1,89.9,5450.7,0,1,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,1,0,1,0.3333333333333333,,0,0.0,49-60 Mo,High,Low,Very Low,0.6475591,Medium Risk
0526-SXDJP,Male,0,Yes,0,72,0,0,42.1,2962.0,0,24,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,1,1,0,0.5,"I don’t use streaming services, yet my monthly charges seem quite high compared to what I actually use. Please review my billing and let me know why this is the case.",1,5.25,61-72 Mo,Low,Medium,Medium,0.0909848,Low Risk
0557-ASKVU,Female,0,Yes,1,18,1,1,54.4,957.1,0,12,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,1,1,0,0.3333333333333333,,0,0.0,13-24 Mo,Low,Low,Very Low,0.23961763,Low Risk
5698-BQJOH,Female,0,No,0,9,1,0,94.4,857.25,1,1,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,1,0,1,0.3333333333333333,,0,0.0,0-12 Mo,Very High,Low,Very Low,0.89475,High Risk
5122-CYFXA,Female,0,No,0,3,1,1,75.3,244.1,0,1,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,1,0,1,0.6666666666666666,,0,0.0,0-12 Mo,Medium,High,Very Low,0.7056266,High Risk
8627-ZYGSZ,Male,0,Yes,0,47,1,1,78.9,3650.35,0,12,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,1,1,0,0.1666666666666666,,0,0.0,37-48 Mo,Medium,Very Low,Very Low,0.3886155,Medium Risk
3410-YOQBQ,Female,0,No,0,31,1,0,79.2,2497.2,0,24,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,1,0,1,0.8333333333333334,,0,0.0,25-36 Mo,High,Very High,Very Low,0.0998247,Low Risk
3170-NMYVV,Female,0,Yes,1,50,1,0,20.15,930.9,0,24,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,1,1,0,0.0,,0,0.0,49-60 Mo,Very Low,,Very Low,0.050295476,Low Risk
7410-OIEDU,Male,0,No,0,10,1,1,79.85,887.35,0,1,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,1,0,1,0.3333333333333333,,0,0.0,0-12 Mo,High,Low,Very Low,0.7392891,High Risk
2273-QCKXA,Male,0,No,0,1,1,0,49.05,49.05,0,1,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,0,0,0,0.1666666666666666,,0,0.0,0-12 Mo,Low,Very Low,Very Low,0.7002836,High Risk
0731-EBJQB,Female,0,Yes,1,52,1,1,20.4,1090.65,0,12,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,1,0,1,0.0,,0,0.0,49-60 Mo,Very Low,,Very Low,0.118785456,Low Risk
1891-QRQSA,Male,1,Yes,1,64,1,1,111.6,7099.0,0,24,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,1,1,0,0.8333333333333334,,0,0.0,61-72 Mo,Very High,Very High,Very Low,0.22149491,Low Risk
8028-PNXHQ,Male,0,Yes,1,62,1,1,24.25,1424.6,0,24,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,1,1,0,0.0,,0,0.0,61-72 Mo,Very Low,,Very Low,0.043154813,Low Risk
5630-AHZIL,Female,0,No,1,3,1,1,64.5,177.4,0,1,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,1,1,0,0.5,,0,0.0,0-12 Mo,Medium,Medium,Very Low,0.6042533,Medium Risk
2673-CXQEU,Female,1,No,0,56,1,0,110.5,6139.5,0,12,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,1,1,0,0.8333333333333334,,0,0.0,49-60 Mo,Very High,Very High,Very Low,0.31199804,Medium Risk
6416-JNVRK,Female,0,No,0,46,1,0,55.65,2688.85,0,12,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,1,0,1,0.1666666666666666,,0,0.0,37-48 Mo,Low,Very Low,Very Low,0.25282693,Low Risk
5590-ZSKRV,Female,0,Yes,1,8,1,0,54.65,482.25,0,1,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,1,0,1,0.3333333333333333,,0,0.0,0-12 Mo,Low,Low,Very Low,0.4221917,Medium Risk
0191-ZHSKZ,Male,1,No,0,30,1,1,74.75,2111.3,0,1,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,1,1,0,0.6666666666666666,,0,0.0,25-36 Mo,Medium,High,Very Low,0.5491261,Medium Risk
3887-PBQAO,Female,0,Yes,1,45,1,1,25.9,1216.6,0,12,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,0,1,0.0,,0,0.0,37-48 Mo,Low,,Very Low,0.12793718,Low Risk
5919-TMRGD,Female,0,No,1,1,1,1,79.35,79.35,1,1,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,0,0,0,0.1666666666666666,"The streaming TV service I signed up for has been buffering constantly and is nearly unwatchable. I expected better quality, especially given the high monthly charges. Please address this issue immediately.",1,5.0,0-12 Mo,High,Very Low,Medium,0.97973114,High Risk
8108-UXRQN,Female,0,Yes,1,11,0,0,50.55,565.35,0,1,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,1,0,1,0.5,,0,0.0,0-12 Mo,Low,Medium,Very Low,0.5866026,Medium Risk
9191-MYQKX,Female,0,Yes,0,7,1,1,75.15,496.9,1,1,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,1,1,0,0.1666666666666666,"I was charged the full monthly fee despite the poor service quality, and I find it unfair to pay for a service that hasn't met basic expectations.",1,5.0,0-12 Mo,Medium,Very Low,Medium,0.9090352,High Risk
9919-YLNNG,Female,0,No,0,42,1,1,103.8,4327.5,0,1,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,1,1,0,0.8333333333333334,,0,0.0,37-48 Mo,Very High,Very High,Very Low,0.68038476,Medium Risk
0318-ZOPWS,Female,0,Yes,0,49,1,1,20.15,973.35,0,24,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,1,1,0,0.0,,0,0.0,49-60 Mo,Very Low,,Very Low,0.06367983,Low Risk
4445-ZJNMU,Male,0,No,0,9,1,1,99.3,918.75,0,1,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,1,0,1,0.5,,0,0.0,0-12 Mo,Very High,Medium,Very Low,0.9155395,High Risk
4808-YNLEU,Female,0,Yes,0,35,1,1,62.15,2215.45,0,12,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,1,0,1,0.3333333333333333,,0,0.0,25-36 Mo,Medium,Low,Very Low,0.1888734,Low Risk
